"","date","Airline-International","Airline-Domestic","Ridership - Fixed Route Bus","Ridership - Urban Rail","Freight-Rail Intermodal Units","Freight-Rail Carloads"
"1","05/01/2019",9640000,67300000,399640786,421141236,1049163,1023136
"2","06/01/2019",9630000,67730000,362002815,398791173,1075974,1023394
"3","07/01/2019",9580000,67790000,369342381,411609150,1314363,1264354
"4","08/01/2019",9580000,67840000,384106237,410227190,1089839,1055024
"5","09/01/2019",9640000,68320000,396133294,410891088,1329532,1239455
"6","10/01/2019",9720000,67990000,426411565,448800841,1063908,977406
"7","11/01/2019",9750000,69220000,371770204,405015198,1019780,955392
"8","12/01/2019",9710000,69110000,352171097,401917786,1189369,1143990
"9","01/01/2020",9770000,69900000,374592819,406379123,1046672,950102
"10","02/01/2020",9200000,69430000,363612341,391628113,997811,927608
"11","03/01/2020",4520000,33150000,258934722,219333174,935380,899673
"12","04/01/2020",130000,2860000,109981216,43368753,1095423,980535
"13","05/01/2020",180000,7830000,130058114,50509907,912922,740171
"14","06/01/2020",350000,15070000,159961885,74727973,1004933,794256
"15","07/01/2020",920000,20300000,181339529,99275522,1295960,1042017
"16","08/01/2020",1200000,22540000,185322500,106955122,1122954,898227
"17","09/01/2020",1580000,25510000,179957308,124264892,1423883,1119546
"18","10/01/2020",2170000,27250000,186600864,136852603,1169874,912772
"19","11/01/2020",2850000,26840000,167551704,118107003,1136695,900194
"20","12/01/2020",3320000,27860000,166062627,118124265,1334495,1101324
